,0
NDPK5,1.4042465519029175
SHK3Dr,-3.9450720914018365
NDPK6,-1.1168190434318173
NDPK8,2.470121880555603
DHORTS,-10.159995690685857
OMPDC,-20.217801086482
G5SD,-5.246545077958758
CS,-41.7647413632181
ICDHyr,5.370438197275044
ACALD,-24.122178662346514
PPA,-15.645520146360042
PPCK,11.245118604222823
ME1,12.022024952521459
ALATA_L,-0.2530758376143487
XYLK,-27.236620458122935
RBK,-31.77641416787467
GLYK,-19.141352482986655
ASPTA,2.8486715333360273
FBP,-10.583442091823828
PYK,-22.78899668038585
GTHOr,-10.804371769086424
ILETA,-6.296940232668656
DHORD5,-17.7299299392564
VALTA,1.3419631592724253
IPPMIb,-0.3962300459374679
ORPT,1.2108551867651824
ACHBS,-15.050902596477627
DHAD2,-36.928288805961145
ACLS,-23.710138174913144
TRPS2,-50.41493032159709
PSCVT,-15.8822649112314
PFL,-20.304440003005613
ANS,-112.69483813295366
FRD2,-34.116181960234655
ANPRT,-65.80000819242574
CHORM,-48.72492478822781
PTAr,9.387962140781383
CHORS,-47.04605201378517
IGPS,-69.86559323790038
ACKr,14.68958766896935
LEUTAi,0.03788516041012217
ENO,-3.894828445649712
FBA,24.84829985008117
HCO3E,-11.271494293581018
IMPC,19.601761381729027
IMPD,13.621260142547591
PPS,-10.10998356341738
PGI,2.416048750882083
PGK,19.543984097843225
PGL,-28.02815007573089
RPE,-3.3906140996532654
DHQTi,-5.290222085060452
IPMD,12.727272581854777
AIRC3,-30.403133552927944
TALA,-1.22089935842082
ADSL2r,24.94399731095888
TKT1,-1.4790398321905602
RNDR1,-44.05985206166142
ALCD2x,15.167578272342714
RNDR3,-40.588921265722036
RNDR4,-44.777650874737034
TMDS,-45.29303434274883
DHAD1,-36.93208668299586
IPPMIa,-3.6899432044934803
MDH,23.565903028684446
FUM,-3.4245366324884285
KARA1,13.03704245014697
KARA2,-13.036798417898893
ACCOAC,-11.766443833325402
KAS14,12.118530018222684
ARGSS,10.457588719715163
AGPR,2.7098163485285633
ICL,8.908189443721632
GLYCL,19.146780698399663
XYLI1,3.6677142494769672
PPC,-43.54025268089428
G3PT,-13.153781593684872
SADT2,16.109450953688913
GHMT2r,-9.957203408221506
DHORD2,-125.47329094192426
SDPDS,8.202807774281062
UMPK,0.6286235339385082
CTPS2,-25.32586820693869
NDPK7,3.8262866803990034
